Kelas,Hari,Jam,WaktuMulai,WaktuSelesai,Kind,MataPelajaran,Guru,Ruang
X DKV 2,Jumat,4-5,08:30,09:30,CLASS,Bahasa Jawa,"Khoyrotun Hisani, S.Sn",R 16
X DKV 2,Jumat,6-7-8,09:50,11:20,CLASS,Dasar DKV,"Khoyrotun Hisani, S.Sn",R 16
X DKV 2,Jumat,9-10,13:00,14:00,CLASS,Matematika,"Ajeng Okvitasari, S.Pd",R 16
X DKV 2,Jumat,11-12-13,14:00,15:30,CLASS,IPAS,"Fitri Amaliyah, S.Pd",R 16
X PSPT 1,Senin,1,07:00,07:40,UPACARA,Upacara/Apel,,
X PSPT 1,Senin,2-3-4,07:40,09:40,CLASS,PJOK,"Bella Prakoso, S.Pd",Lapangan
X PSPT 1,Senin,5-6,10:00,11:20,CLASS,Pendidikan Pancasila,"Abdul Rohman, S.Pd",R 55
X PSPT 1,Senin,7-8-9-10,11:20,15:00,CLASS,Dasar BP,"Benny Mamora, S.Kom",Lab. Broadcast
X PSPT 1,Selasa,1-2-3-4,07:00,09:40,CLASS,Dasar BP,"Benny Mamora, S.Kom",Lab. Broadcast
X PSPT 1,Selasa,5-6,10:00,11:20,CLASS,Seni Budaya,"Anang Prasetyo, S.Pd",R 55
X PSPT 1,Selasa,7-8,11:20,13:40,CLASS,Matematika,"Eko Saputro, S.Pd",R 55
X PSPT 1,Selasa,9-10,13:40,15:00,CLASS,Bahasa Indonesia,"Winartin, S.Pd",R 55
X PSPT 1,Rabu,1-2-3,07:00,09:00,CLASS,Pendidikan Agama Islam dan Budi Pekerti,Dra. Hanik Pangestuti,R 55
X PSPT 1,Rabu,4-5-6,09:00,11:20,CLASS,IPAS,"Ista Nofasari, S.Pd",R 55
X PSPT 1,Rabu,7-8,11:20,13:40,CLASS,Bahasa Inggris,"Muto'atul Khosi'ah, S.Pd",R 55
X PSPT 1,Rabu,9-10,13:40,15:00,CLASS,Bahasa Indonesia,"Winartin, S.Pd",R 55
X PSPT 1,Kamis,1-2,07:00,08:20,CLASS,Koding dan Kecerdasan Artifisial,"Elyana Frisca Monica, S.Pd",Lab. Broadcast
X PSPT 1,Kamis,3-4-5-6,08:20,11:20,CLASS,Informatika,"Elyana Frisca Monica, S.Pd",Lab. Broadcast
X PSPT 1,Kamis,7-8,11:20,13:40,CLASS,Bahasa Jawa,"Khoyrotun Hisani, S.Sn",R 55
X PSPT 1,Kamis,9-10,13:40,15:00,CLASS,Matematika,"Eko Saputro, S.Pd",R 55
X PSPT 1,Jumat,1,07:00,07:30,PEMBIASAAN,Pembiasaan Hari Jumat,,
X PSPT 1,Jumat,2-3,07:30,08:30,CLASS,Sejarah,"Yustin Febrini, S.Pd",R 55
X PSPT 1,Jumat,4-5,08:30,09:30,CLASS,Bahasa Inggris,"Muto'atul Khosi'ah, S.Pd",R 55
X PSPT 1,Jumat,6-7-8,09:50,11:20,CLASS,IPAS,"Ista Nofasari, S.Pd",R 55
X PSPT 1,Jumat,9,13:00,13:30,CLASS,BK,"Winarsih, S.Pd, M.Pd",R 55
X PSPT 1,Jumat,10-11-12-13,13:30,15:30,CLASS,Dasar BP,"Benny Mamora, S.Kom",Lab. Broadcast
X PSPT 2,Senin,1,07:00,07:40,UPACARA,Upacara/Apel,,
X PSPT 2,Senin,2-3-4-5,07:40,10:40,CLASS,Informatika,"Elyana Frisca Monica, S.Pd",Lab. Broadcast
X PSPT 2,Senin,6-7,10:40,12:00,CLASS,Bahasa Inggris,"Muto'atul Khosi'ah, S.Pd",R 56
X PSPT 2,Senin,8-9-10,13:00,15:00,CLASS,IPAS,"Ista Nofasari, S.Pd",R 56
X PSPT 2,Selasa,1-2-3,07:00,09:00,CLASS,IPAS,"Ista Nofasari, S.Pd",R 56
X PSPT 2,Selasa,4-5,09:00,10:40,CLASS,Sejarah,"Yustin Febrini, S.Pd",R 56
X PSPT 2,Selasa,6,10:40,11:20,CLASS,BK,"Winarsih, S.Pd, M.Pd",R 56
X PSPT 2,Selasa,7-8-9-10,11:20,15:00,CLASS,Dasar BP,"Sa'ad Wazis Hiedayat, S.Pd",Lab. Broadcast
X PSPT 2,Rabu,1-2-3-4,07:00,09:40,CLASS,Dasar BP,"Sa'ad Wazis Hiedayat, S.Pd",Lab. Broadcast
X PSPT 2,Rabu,5-6-7,10:00,12:00,CLASS,PJOK,"Bella Prakoso, S.Pd",Lapangan
X PSPT 2,Rabu,8-9-10,13:00,15:00,CLASS,Pendidikan Agama Islam dan Budi Pekerti,Dra. Hanik Pangestuti,R 56
X PSPT 2,Kamis,1-2,07:00,08:20,CLASS,Bahasa Indonesia,"Umi Kulsum, S.Pd",R 56
X PSPT 2,Kamis,3-4,08:20,09:40,CLASS,Matematika,"Laili Ermawati, S.Pd",R 56
X PSPT 2,Kamis,5-6,10:00,11:20,CLASS,Pendidikan Pancasila,"Abdul Rohman, S.Pd",R 56
